municipality_consumption;percent;avg_consu
Oliveira de Frades    ;50.0;165550.1538461538
Oliveira do Bairro    ;50.0;443098.125
Oliveira do Hospital  ;50.0;69812.6818181818
Ourique               ;50.0;83357.1428571429
Ourém                 ;50.0;239400.2916666667
Ovar                  ;50.0;711950.7
Palmela               ;50.0;1096761.5
Pampilhosa da Serra   ;50.0;33921.3333333333
Paredes               ;51.4285714286;203732.15625
Paredes de Coura      ;51.6129032258;43177.9444444444
Paços de Ferreira     ;50.0;220246.5909090909
Pedrógão Grande       ;50.0;88385.5
Penacova              ;50.0;70141.1818181818
Penafiel              ;50.0;152628.875
Penalva do Castelo    ;50.0;40727.6153846154
Penamacor             ;50.0;39107.2
Penedono              ;50.0;22731.5
Penela                ;50.0;106148.6666666667
Peniche               ;50.0;502262.1428571428
Peso da Régua         ;50.0;100294.3636363636
Pinhel                ;50.0;31075.4090909091
Pombal                ;50.0;332195.0
Ponte da Barca        ;51.5151515152;42037.1111111111
Ponte de Lima         ;54.1666666667;75640.44
Ponte de Sor          ;55.5555555556;184956.8888888889
Portalegre            ;50.0;192398.5
Portel                ;50.0;55180.3333333333
Portimão              ;50.0;1280347.0
Porto                 ;50.0;2502578.5
Porto de Mós          ;50.0;159074.6666666667
Proença-a-Nova        ;50.0;108277.0
Póvoa de Lanhoso      ;50.0;70543.0344827586
Póvoa de Varzim       ;50.0;438066.4615384616
Redondo               ;50.0;237213.25
Reguengos de Monsaraz ;50.0;183901.7142857143
Resende               ;50.0;53980.75
Ribeira de Pena       ;50.0;81088.3333333333
Rio Maior             ;50.0;290828.5
Sabrosa               ;50.0;28427.375
Sabugal               ;50.0;30834.78125
Salvaterra de Magos   ;50.0;313035.75
Santa Comba Dão       ;50.0;100036.2
Santa Maria da Feira  ;50.0;396958.8333333333
Santa Marta de Penagui;50.0;36634.5
Santarém              ;50.0;354259.0588235294
Santiago do Cacém     ;50.0;210970.6
Santo Tirso           ;48.0;545340.7826086957
Sardoal               ;50.0;56685.8
Seia                  ;50.0;69869.5384615385
Seixal                ;50.0;1441922.25
Sernancelhe           ;50.0;26433.1176470588
Serpa                 ;50.0;397515.7
Sertã                 ;50.0;96705.0
Sesimbra              ;50.0;737344.0
Setúbal               ;50.0;1183678.3636363635
Sever do Vouga        ;50.0;81210.25
Silves                ;50.0;529852.2727272727
Sines                 ;50.0;980162.5
Sintra                ;50.0;1311417.5714285714
Sobral de Monte Agraço;50.0;157894.8333333333
Soure                 ;50.0;133124.3076923077
Sousel                ;50.0;95336.625
Sátão                 ;50.0;70267.2307692308
São Brás de Alportel  ;50.0;513190.5
São João da Madeira   ;50.0;1377006.0
São João da Pesqueira ;50.0;34570.9333333333
São Pedro do Sul      ;50.0;88828.8888888889
Tabuaço               ;54.1666666667;21407.1764705882
Tarouca               ;50.0;62179.0
Tavira                ;50.0;377112.1
Terras de Bouro       ;58.3333333333;39116.8666666667
Tomar                 ;50.0;195771.9411764706
Tondela               ;50.0;128037.375
Torre de Moncorvo     ;52.0;33900.8666666667
Torres Novas          ;50.0;256401.5263157895
Torres Vedras         ;50.0;397068.44
Trancoso              ;52.5;35802.3913043478
Trofa                 ;50.0;644049.7
Tábua                 ;50.0;67139.7142857143
Vagos                 ;50.0;233870.3846153846
Vale de Cambra        ;50.0;335936.2
Valença               ;50.0;116193.0555555556
Valongo               ;50.0;1016089.0
Valpaços              ;50.0;34896.4193548387
Vendas Novas          ;50.0;425021.75
Viana do Alentejo     ;50.0;137729.6
Viana do Castelo      ;50.9433962264;256464.5238095238
Vidigueira            ;50.0;88016.625
Vieira do Minho       ;50.0;42923.7
Vila de Rei           ;50.0;86269.5
Vila do Bispo         ;50.0;148438.1428571429
Vila do Conde         ;50.0;263623.3947368421
Vila Flor             ;51.8518518519;27020.7647058824
Vila Franca de Xira   ;50.0;965032.5833333334
Vila Nova da Barquinha;57.1428571429;96075.8571428571
Vila Nova de Cerveira ;50.0;157827.4285714286
Vila Nova de Famalicão;52.380952381;266006.8870967742
Vila Nova de Foz Côa  ;50.0;34276.125
Vila Nova de Gaia     ;50.0;879374.8333333334
Vila Nova de Paiva    ;50.0;45852.875
Vila Nova de Poiares  ;50.0;132332.3333333333
Vila Pouca de Aguiar  ;50.0;55800.3043478261
Vila Real             ;50.0;171396.5
Vila Real de Santo Ant;50.0;423336.8333333333
Vila Velha de Ródão   ;50.0;43651.875
Vila Verde            ;50.0;93469.2142857143
Vila Viçosa           ;50.0;144013.75
Vimioso               ;50.0;27821.8
Vinhais               ;50.0;18011.6666666667
Viseu                 ;50.0;228904.0
Vizela                ;55.5555555556;217499.3
Vouzela               ;50.0;61011.2666666667
Águeda                ;50.0;285814.4090909091
Évora                 ;54.5454545455;340255.75
Ílhavo                ;50.0;811943.2857142857
Óbidos                ;50.0;174929.3076923077
